compania,videoperitacion,fecha_entrada,perito,provincia,honorario_gabinete,honorario_perito,tasacion_origen,tiempo_resolucion_dias
Linea Directa,Si,2024-04-23,Perito A,Sevilla,59,49,3209,1.9
Allianz,Si,2025-01-27,Perito C,Sevilla,52,35,4951,4.3
Generali,No,2024-02-11,Perito C,Málaga,23,42,6217,4.5
AXA,No,2025-03-01,Perito B,Málaga,23,31,7683,5.3
Linea Directa,No,2024-11-23,Perito C,Valencia,48,26,7037,4.6
Mapfre,Si,2024-03-02,Perito A,Barcelona,56,32,2277,5.8
Allianz,Si,2024-06-20,Perito C,Zaragoza,39,42,5915,2.6
Mapfre,No,2024-08-17,Perito D,Sevilla,42,17,4067,3.8
AXA,Si,2024-11-29,Perito C,Málaga,37,29,5415,2.5
Mapfre,Si,2025-01-09,Perito C,Barcelona,44,30,7748,6.5
AXA,No,2024-03-03,Perito C,Sevilla,20,36,5073,4.8
Generali,Si,2025-06-24,Perito D,Sevilla,34,45,643,1.0
Allianz,Si,2024-12-13,Perito A,Zaragoza,53,45,497,2.7
Mutua,Si,2024-01-18,Perito C,Barcelona,39,15,5103,3.9
AXA,Si,2024-08-26,Perito B,Barcelona,56,25,6056,5.9
Linea Directa,No,2024-08-10,Perito C,Málaga,46,20,1044,5.4
Linea Directa,Si,2025-04-22,Perito D,Barcelona,41,37,1215,1.6
Generali,Si,2024-10-20,Perito D,Barcelona,24,23,1584,4.4
Linea Directa,Si,2024-06-14,Perito B,Málaga,53,30,1597,3.8
Mapfre,No,2025-05-06,Perito D,Sevilla,58,33,753,2.4
Generali,No,2025-03-04,Perito D,Zaragoza,22,27,2550,4.1
Linea Directa,No,2024-03-08,Perito D,Barcelona,36,46,4716,5.3
Mapfre,No,2025-01-14,Perito A,Zaragoza,43,23,1469,3.9
Mapfre,No,2025-01-27,Perito D,Valencia,43,45,1460,2.5
Mapfre,No,2024-04-09,Perito C,Madrid,22,45,7901,7.3
Linea Directa,No,2025-02-09,Perito B,Zaragoza,26,33,384,2.6
Mapfre,Si,2024-09-12,Perito C,Barcelona,44,16,4763,5.6
Allianz,Si,2025-06-12,Perito C,Zaragoza,22,46,7097,3.5
Linea Directa,Si,2025-06-15,Perito B,Barcelona,34,48,2610,6.0
Mapfre,Si,2025-05-24,Perito A,Madrid,48,15,5602,4.2
Allianz,No,2024-04-30,Perito A,Valencia,48,35,5872,8.3
Mutua,Si,2025-04-17,Perito D,Zaragoza,29,17,4631,2.7
Allianz,Si,2024-05-11,Perito A,Sevilla,51,41,2409,4.1
Linea Directa,No,2024-09-01,Perito A,Valencia,42,21,7527,7.0
Linea Directa,Si,2024-06-22,Perito D,Madrid,58,47,5793,4.6
Mapfre,No,2024-07-29,Perito A,Zaragoza,28,23,3872,5.9
Linea Directa,No,2025-05-26,Perito A,Barcelona,56,44,7689,6.5
Mutua,Si,2024-10-20,Perito D,Sevilla,59,32,6355,2.4
Generali,Si,2024-11-05,Perito C,Valencia,33,40,5743,4.0
Allianz,No,2024-05-24,Perito C,Valencia,23,34,7440,6.3
Generali,Si,2025-01-18,Perito B,Sevilla,39,45,4883,3.0
Mutua,No,2025-01-12,Perito A,Valencia,47,22,2081,4.5
Allianz,Si,2024-05-29,Perito D,Madrid,33,37,4496,2.7
Mapfre,Si,2024-10-16,Perito D,Sevilla,53,39,721,2.0
Allianz,Si,2024-04-17,Perito A,Madrid,32,15,2087,3.8
Mapfre,No,2024-08-26,Perito A,Sevilla,50,32,2752,4.6
AXA,No,2025-01-29,Perito D,Madrid,52,33,4009,5.0
Allianz,Si,2024-10-28,Perito D,Barcelona,58,20,6007,3.6
Allianz,Si,2024-01-06,Perito D,Barcelona,47,31,5083,4.3
Generali,No,2025-05-19,Perito B,Valencia,44,22,7406,4.9
Generali,No,2024-12-15,Perito C,Sevilla,51,23,4355,5.4
Mutua,No,2025-02-12,Perito D,Zaragoza,28,41,4873,5.1
Mapfre,No,2024-04-18,Perito C,Sevilla,47,20,4616,4.7
Linea Directa,Si,2025-04-30,Perito A,Madrid,50,20,5754,5.5
Generali,No,2025-06-15,Perito C,Zaragoza,36,18,3679,5.0
Mutua,No,2025-04-06,Perito C,Valencia,42,36,6333,6.1
Mapfre,No,2024-01-29,Perito C,Valencia,32,41,5218,6.3
Mapfre,No,2024-06-06,Perito A,Zaragoza,29,16,1609,3.8
Mapfre,Si,2025-02-14,Perito C,Sevilla,35,23,1894,1.4
AXA,Si,2024-12-27,Perito C,Barcelona,25,25,4864,5.6
Mapfre,Si,2024-04-17,Perito B,Sevilla,30,34,5397,5.4
Mutua,No,2024-05-21,Perito A,Zaragoza,22,28,7561,6.1
Mapfre,No,2024-07-16,Perito C,Sevilla,47,40,7652,5.5
Linea Directa,Si,2025-06-16,Perito A,Málaga,34,44,726,4.3
Linea Directa,Si,2024-09-04,Perito D,Madrid,32,49,6867,3.7
Mapfre,No,2025-05-03,Perito C,Madrid,36,20,2860,4.7
Mutua,No,2024-12-02,Perito A,Málaga,26,17,7523,5.4
Allianz,Si,2024-02-26,Perito C,Valencia,47,15,7707,4.6
Mapfre,No,2025-05-03,Perito C,Zaragoza,57,32,2372,4.8
Mutua,Si,2024-07-20,Perito D,Madrid,32,37,5166,3.0
Generali,No,2024-01-25,Perito B,Valencia,36,46,479,4.2
Mutua,Si,2025-03-21,Perito A,Barcelona,34,43,3164,3.7
AXA,No,2024-07-08,Perito C,Valencia,55,37,4177,4.8
Generali,No,2024-06-17,Perito D,Madrid,47,20,2869,2.2
Linea Directa,No,2024-07-03,Perito D,Zaragoza,34,31,3093,1.5
Linea Directa,Si,2024-09-30,Perito B,Zaragoza,30,32,6188,3.9
Allianz,No,2024-08-20,Perito B,Valencia,50,45,1951,4.9
Allianz,No,2024-04-23,Perito D,Barcelona,23,20,4181,6.0
Mutua,No,2024-02-21,Perito D,Málaga,54,48,4969,2.6
Mutua,Si,2024-04-21,Perito A,Madrid,53,41,5447,6.4
Mapfre,No,2024-12-05,Perito A,Zaragoza,46,39,2561,4.9
Mapfre,Si,2024-07-27,Perito D,Barcelona,29,24,4627,4.5
Linea Directa,No,2025-02-10,Perito D,Sevilla,49,26,5469,6.6
AXA,Si,2024-07-07,Perito B,Málaga,39,25,6335,3.5
Mapfre,Si,2025-06-15,Perito A,Málaga,48,17,5773,5.4
Linea Directa,No,2024-11-26,Perito D,Madrid,48,36,4331,5.0
Mutua,Si,2025-03-30,Perito A,Barcelona,42,18,1908,5.8
Mutua,No,2024-05-20,Perito A,Zaragoza,40,22,5739,5.8
Mapfre,No,2024-04-03,Perito D,Zaragoza,29,28,7389,4.4
AXA,No,2025-04-12,Perito D,Sevilla,31,34,6549,4.0
Linea Directa,No,2024-12-27,Perito C,Zaragoza,49,38,2886,4.2
Mutua,Si,2025-02-07,Perito A,Barcelona,52,28,3095,3.7
Linea Directa,Si,2024-03-24,Perito A,Zaragoza,37,42,5675,1.5
AXA,Si,2024-09-03,Perito B,Valencia,33,30,4735,4.9
Mutua,Si,2025-03-15,Perito B,Zaragoza,41,46,2976,4.1
Linea Directa,Si,2025-02-26,Perito B,Madrid,40,26,1319,3.4
AXA,No,2025-03-12,Perito A,Valencia,20,30,3188,5.3
AXA,No,2025-03-10,Perito D,Zaragoza,34,33,4459,4.8
AXA,Si,2024-11-10,Perito D,Zaragoza,55,19,4443,3.0
Mapfre,Si,2025-01-30,Perito D,Zaragoza,41,26,7897,2.4
Allianz,No,2024-09-08,Perito A,Valencia,51,43,6637,6.1
Linea Directa,Si,2024-07-03,Perito D,Zaragoza,52,19,394,1.4
AXA,Si,2024-12-20,Perito B,Málaga,58,31,862,4.3
Linea Directa,Si,2024-05-04,Perito D,Zaragoza,42,22,679,2.4
AXA,Si,2025-05-15,Perito D,Málaga,21,44,4418,3.6
Linea Directa,No,2024-01-23,Perito B,Valencia,21,24,1623,5.0
Mutua,No,2025-05-04,Perito C,Zaragoza,57,34,7042,5.5
Linea Directa,Si,2024-02-05,Perito C,Barcelona,48,30,5260,6.7
Allianz,No,2024-07-21,Perito C,Madrid,22,30,7819,5.6
Mutua,Si,2024-01-28,Perito A,Zaragoza,58,17,2908,3.4
Mutua,No,2024-09-27,Perito A,Madrid,26,37,3375,7.0
AXA,Si,2024-08-14,Perito B,Barcelona,55,36,6074,3.8
Generali,No,2024-09-09,Perito C,Valencia,48,42,5781,4.6
Allianz,No,2024-11-10,Perito A,Madrid,56,18,4014,6.3
Mutua,No,2025-06-10,Perito D,Zaragoza,55,38,2214,3.8
Generali,Si,2025-02-22,Perito C,Málaga,42,33,3989,2.7
Generali,No,2024-06-08,Perito C,Sevilla,35,25,5005,6.1
Mutua,No,2024-09-06,Perito A,Málaga,50,32,2643,3.4
AXA,Si,2025-02-21,Perito C,Barcelona,53,26,1111,3.6
Mapfre,Si,2024-03-30,Perito B,Sevilla,20,28,5656,3.2
Mutua,Si,2024-11-16,Perito B,Madrid,37,32,7348,3.6
AXA,Si,2025-04-18,Perito A,Zaragoza,59,26,7966,4.5
Allianz,Si,2025-05-15,Perito C,Madrid,34,41,3413,3.8
AXA,No,2024-11-23,Perito B,Sevilla,36,20,2564,2.6
Generali,Si,2024-04-28,Perito C,Madrid,29,38,6030,6.3
Allianz,Si,2024-09-07,Perito B,Sevilla,39,47,3829,3.4
Allianz,No,2025-02-18,Perito B,Valencia,25,30,6119,5.3
Mapfre,Si,2025-02-15,Perito C,Barcelona,27,26,7894,5.5
Mapfre,Si,2024-09-27,Perito A,Zaragoza,53,45,5875,4.3
Mutua,No,2024-11-12,Perito A,Málaga,51,27,3672,5.3
AXA,No,2024-06-11,Perito A,Sevilla,23,22,880,3.3
Mutua,Si,2025-04-20,Perito C,Sevilla,58,17,5629,1.6
Mapfre,Si,2025-06-05,Perito C,Valencia,39,34,6838,2.4
Generali,No,2025-06-22,Perito C,Zaragoza,43,18,4851,4.9
Mapfre,Si,2024-02-21,Perito A,Zaragoza,43,16,809,2.5
AXA,No,2024-08-16,Perito C,Málaga,45,37,2356,6.4
Generali,No,2024-08-17,Perito A,Valencia,44,33,4066,5.8
Mutua,No,2025-03-16,Perito B,Valencia,55,22,571,3.6
Mutua,Si,2024-11-01,Perito A,Barcelona,26,30,7198,4.3
Mapfre,Si,2025-01-22,Perito A,Madrid,29,32,815,3.1
Mapfre,Si,2024-02-12,Perito D,Zaragoza,31,38,7111,4.9
Linea Directa,No,2024-08-10,Perito D,Zaragoza,20,15,6210,4.8
Mutua,Si,2024-10-03,Perito A,Málaga,44,15,2453,2.4
Mutua,Si,2024-11-07,Perito D,Valencia,35,25,5142,2.0
Allianz,No,2024-06-23,Perito C,Madrid,24,32,4338,6.0
AXA,Si,2024-05-06,Perito D,Madrid,38,30,1064,2.2
Allianz,Si,2024-05-30,Perito D,Madrid,23,31,1468,2.5
Allianz,No,2025-06-17,Perito D,Zaragoza,25,38,7654,4.9
Mutua,No,2024-04-05,Perito A,Madrid,45,48,5674,7.8
Linea Directa,No,2025-02-16,Perito B,Barcelona,58,18,984,4.1
AXA,Si,2025-02-20,Perito B,Barcelona,58,49,4771,6.0
Mutua,Si,2024-06-30,Perito B,Valencia,28,29,4378,3.1
Allianz,Si,2024-08-28,Perito B,Madrid,33,16,5429,3.4
Allianz,No,2024-03-06,Perito B,Valencia,28,45,2437,3.5
Mutua,Si,2024-07-15,Perito B,Sevilla,34,23,4254,3.4
Mapfre,Si,2025-01-12,Perito A,Zaragoza,56,24,5095,2.6
Mapfre,Si,2025-02-17,Perito C,Barcelona,39,39,1135,2.3
Mutua,No,2025-03-20,Perito C,Barcelona,27,19,4180,6.0
Generali,Si,2025-06-06,Perito B,Zaragoza,51,28,6594,3.7
Generali,No,2025-01-25,Perito D,Málaga,40,16,2538,4.2
Mapfre,Si,2024-03-08,Perito D,Sevilla,38,32,5964,2.1
AXA,No,2025-03-14,Perito A,Barcelona,48,43,7568,6.2
Linea Directa,No,2024-01-04,Perito B,Madrid,50,34,525,4.9
Allianz,Si,2024-08-23,Perito B,Zaragoza,25,22,1734,2.7
AXA,Si,2024-09-28,Perito D,Madrid,23,40,3680,2.1
Mapfre,No,2024-03-24,Perito B,Zaragoza,48,18,7974,5.9
Mutua,No,2025-06-02,Perito B,Madrid,22,47,4061,6.8
Generali,Si,2024-05-20,Perito D,Zaragoza,20,36,2185,2.0
Mapfre,No,2024-09-03,Perito C,Valencia,34,20,6260,4.5
AXA,No,2024-04-30,Perito C,Barcelona,40,47,5132,6.8
AXA,No,2024-09-29,Perito A,Valencia,50,42,4803,4.5
Linea Directa,Si,2025-02-03,Perito D,Barcelona,26,38,2978,4.0
Mapfre,No,2025-04-10,Perito A,Málaga,36,18,7968,5.9
Allianz,Si,2024-03-25,Perito B,Valencia,38,16,6415,3.1
AXA,Si,2024-07-26,Perito D,Barcelona,58,27,1470,2.4
Allianz,Si,2024-01-31,Perito C,Málaga,22,25,840,1.0
Allianz,No,2024-12-18,Perito B,Barcelona,49,49,7283,7.2
Mutua,No,2024-11-22,Perito C,Sevilla,54,24,6174,5.7
Mapfre,No,2025-06-08,Perito C,Zaragoza,48,24,4903,4.9
Mapfre,Si,2024-10-18,Perito A,Valencia,33,22,7954,4.6
Allianz,Si,2024-02-15,Perito D,Madrid,54,19,6254,5.4
Mutua,Si,2024-10-25,Perito D,Málaga,47,37,4278,3.5
AXA,Si,2024-06-09,Perito D,Málaga,49,48,4861,3.9
AXA,Si,2024-11-23,Perito A,Madrid,45,46,1567,4.4
Mapfre,Si,2025-06-10,Perito C,Málaga,26,30,4242,3.2
Allianz,Si,2024-11-06,Perito A,Madrid,58,18,6397,5.4
Mutua,Si,2025-05-31,Perito D,Madrid,50,42,6049,2.5
Mutua,No,2024-03-24,Perito B,Barcelona,24,28,2775,3.7
AXA,No,2024-07-11,Perito D,Valencia,54,26,6954,5.3
AXA,No,2024-06-06,Perito D,Sevilla,33,35,3803,5.3
Generali,No,2024-01-31,Perito C,Málaga,55,30,1781,4.4
Generali,Si,2025-02-06,Perito D,Barcelona,46,16,2186,3.0
Allianz,No,2024-01-24,Perito D,Sevilla,43,37,2440,2.5
Generali,Si,2024-03-31,Perito C,Sevilla,59,43,4166,4.1
Mutua,No,2025-05-13,Perito D,Málaga,48,23,2305,3.4
Generali,Si,2024-03-25,Perito D,Málaga,41,21,7804,3.3
Mapfre,No,2025-01-06,Perito C,Barcelona,27,43,7478,6.7
Mapfre,No,2024-03-08,Perito B,Málaga,34,31,328,3.9
Linea Directa,No,2025-03-22,Perito C,Sevilla,24,23,6168,3.5
AXA,Si,2025-04-06,Perito D,Málaga,23,20,5001,3.1
AXA,No,2025-05-29,Perito A,Zaragoza,30,34,4196,6.2
Allianz,No,2025-05-17,Perito B,Zaragoza,37,24,1051,4.4
Mapfre,No,2024-03-08,Perito C,Barcelona,49,23,7693,6.5
Linea Directa,No,2025-03-10,Perito B,Barcelona,34,26,4303,4.4
Allianz,No,2025-06-04,Perito B,Barcelona,25,47,2276,3.3
Allianz,Si,2025-02-23,Perito A,Málaga,35,46,5431,5.2
Generali,Si,2024-07-17,Perito A,Valencia,59,48,3194,3.0
AXA,No,2024-07-01,Perito A,Barcelona,28,33,3944,6.4
Allianz,Si,2024-02-18,Perito D,Valencia,53,47,6474,4.8
Allianz,No,2025-05-08,Perito C,Madrid,46,30,6531,5.4
AXA,No,2024-04-25,Perito D,Barcelona,32,37,5994,5.2
AXA,No,2025-03-21,Perito C,Valencia,55,40,2956,5.1
Mapfre,No,2024-10-24,Perito D,Valencia,46,23,5794,4.2
AXA,Si,2024-01-26,Perito D,Sevilla,28,44,7731,4.7
Generali,No,2024-05-16,Perito A,Valencia,24,27,7571,5.7
Mapfre,No,2025-03-22,Perito D,Sevilla,41,30,6555,3.5
Linea Directa,Si,2025-05-02,Perito A,Zaragoza,50,16,1844,3.6
Allianz,No,2025-02-18,Perito C,Zaragoza,22,45,4571,6.0
Generali,No,2024-06-12,Perito A,Zaragoza,49,33,3344,5.0
Generali,Si,2024-09-24,Perito B,Valencia,40,25,5998,4.6
Mapfre,Si,2024-03-16,Perito B,Valencia,54,28,6091,4.7
Allianz,No,2025-06-15,Perito D,Madrid,25,39,442,5.3
Mapfre,No,2024-07-27,Perito B,Valencia,47,21,4285,4.1
Mutua,No,2024-07-10,Perito C,Málaga,51,29,7469,3.3
Mutua,Si,2024-08-14,Perito D,Málaga,56,44,7330,5.2
Mapfre,No,2024-05-28,Perito A,Zaragoza,44,45,7028,4.4
Allianz,No,2024-04-25,Perito D,Málaga,51,38,370,2.1
Allianz,No,2024-03-05,Perito D,Madrid,54,39,852,3.0
AXA,No,2025-04-10,Perito B,Valencia,41,22,6228,4.3
Generali,Si,2024-07-24,Perito D,Madrid,43,44,6531,5.6
Mapfre,Si,2024-07-20,Perito C,Valencia,58,28,3712,3.9
Generali,No,2024-05-14,Perito D,Sevilla,49,43,5405,3.5
Generali,Si,2024-10-08,Perito A,Madrid,51,41,1699,5.3
Mutua,No,2024-12-07,Perito A,Zaragoza,50,48,2299,4.0
Mutua,Si,2024-11-15,Perito B,Málaga,42,35,2358,4.7
Linea Directa,Si,2024-11-30,Perito D,Málaga,59,25,2172,1.8
Mapfre,Si,2024-06-15,Perito A,Málaga,52,47,7220,4.5
Linea Directa,No,2025-02-27,Perito D,Valencia,44,29,4125,3.5
Mapfre,No,2025-02-19,Perito D,Valencia,55,26,5362,3.4
Allianz,Si,2024-10-06,Perito A,Madrid,43,38,2458,4.9
Mapfre,No,2024-01-26,Perito D,Zaragoza,50,25,4239,3.2
Allianz,Si,2025-01-24,Perito B,Barcelona,58,33,2235,3.5
Allianz,No,2024-02-14,Perito B,Valencia,32,15,3471,4.6
Mapfre,Si,2024-10-07,Perito A,Barcelona,29,31,1057,5.8
Allianz,Si,2024-09-11,Perito C,Barcelona,42,30,4023,3.7
Generali,No,2024-05-16,Perito C,Valencia,37,40,6970,4.8
Allianz,No,2024-09-05,Perito D,Madrid,51,29,1249,3.3
Generali,Si,2024-12-16,Perito B,Zaragoza,52,22,4190,3.8
Generali,No,2024-08-30,Perito A,Barcelona,55,44,498,4.2
Generali,Si,2025-02-22,Perito B,Madrid,47,28,7444,4.6
AXA,Si,2025-06-13,Perito C,Madrid,35,47,1123,3.5
Linea Directa,No,2024-05-24,Perito C,Zaragoza,35,21,4432,5.1
AXA,No,2024-09-01,Perito D,Valencia,37,32,5339,3.8
Allianz,No,2024-03-18,Perito A,Zaragoza,27,26,6783,5.9
Linea Directa,No,2024-08-07,Perito D,Barcelona,35,16,4506,5.3
Linea Directa,Si,2024-09-16,Perito B,Madrid,30,43,2999,4.0
Linea Directa,Si,2024-09-26,Perito B,Barcelona,25,35,5870,5.3
Mapfre,Si,2024-07-14,Perito C,Madrid,20,21,6778,4.4
Allianz,No,2024-05-03,Perito D,Valencia,31,41,5075,3.1
AXA,No,2024-06-15,Perito B,Madrid,57,26,5526,5.0
Linea Directa,Si,2025-02-08,Perito B,Valencia,47,34,4262,1.1
Linea Directa,No,2025-04-22,Perito B,Valencia,36,28,6782,4.1
Mutua,No,2025-06-23,Perito A,Barcelona,20,24,4245,6.6
Linea Directa,No,2024-05-26,Perito C,Barcelona,51,37,2002,5.3
Linea Directa,Si,2024-03-06,Perito D,Zaragoza,27,44,2913,1.2
Mutua,Si,2024-01-14,Perito B,Barcelona,59,45,5361,3.1
Allianz,No,2024-10-14,Perito A,Sevilla,43,24,4706,5.1
AXA,Si,2025-05-23,Perito B,Barcelona,29,33,7890,6.2
Generali,Si,2024-09-21,Perito B,Barcelona,58,33,3053,3.2
AXA,Si,2025-01-19,Perito C,Zaragoza,58,37,2857,2.4
Allianz,Si,2025-03-24,Perito A,Madrid,29,46,4722,5.9
AXA,Si,2024-03-09,Perito B,Zaragoza,55,34,3546,4.9
Mutua,No,2024-01-16,Perito C,Sevilla,44,18,1671,3.0
Linea Directa,Si,2024-02-20,Perito A,Sevilla,29,47,3149,4.1
Linea Directa,No,2024-03-21,Perito B,Madrid,38,15,1141,4.3
Generali,No,2024-08-07,Perito D,Barcelona,34,27,2107,5.3
Allianz,Si,2024-10-01,Perito C,Zaragoza,35,17,5037,2.5
Linea Directa,Si,2024-12-02,Perito B,Málaga,21,26,5688,3.9
Allianz,Si,2024-11-12,Perito B,Valencia,48,43,1443,1.8
Mapfre,Si,2024-03-03,Perito A,Sevilla,23,45,5896,4.4
Generali,No,2025-01-11,Perito D,Madrid,48,16,5551,6.2
Allianz,No,2024-03-23,Perito C,Málaga,50,36,4623,4.5
AXA,No,2025-05-21,Perito A,Valencia,36,36,1666,3.3
AXA,Si,2024-01-17,Perito B,Málaga,29,45,6395,5.0
AXA,No,2024-08-07,Perito C,Barcelona,46,28,4157,5.9
AXA,No,2024-08-27,Perito B,Madrid,34,43,2166,5.0
Allianz,Si,2025-04-28,Perito B,Valencia,50,49,575,1.0
Mutua,Si,2025-02-25,Perito D,Valencia,40,23,462,2.1
Generali,Si,2024-06-11,Perito B,Barcelona,45,46,4562,3.9
AXA,No,2024-08-31,Perito C,Barcelona,57,41,6702,5.2
Allianz,Si,2024-05-30,Perito B,Barcelona,55,24,3588,3.3
Linea Directa,No,2024-07-13,Perito C,Madrid,36,39,3595,5.8
Linea Directa,Si,2024-07-13,Perito D,Sevilla,22,47,2144,2.7
Allianz,No,2024-11-21,Perito B,Málaga,33,25,2093,3.7
AXA,No,2025-01-19,Perito A,Madrid,32,23,6197,4.4
Mapfre,Si,2024-02-24,Perito C,Madrid,46,21,6995,6.4
Allianz,No,2024-07-02,Perito B,Málaga,20,21,3834,5.1
Generali,Si,2024-05-30,Perito A,Valencia,36,48,1852,2.6
Generali,Si,2024-04-04,Perito C,Málaga,53,33,5740,5.3
Mapfre,Si,2025-06-23,Perito A,Barcelona,33,34,4341,4.0
Linea Directa,No,2025-04-05,Perito B,Valencia,36,39,4092,4.5
Linea Directa,No,2024-04-17,Perito D,Madrid,22,19,799,3.9
Allianz,No,2024-05-16,Perito D,Málaga,53,43,5015,4.4
Mapfre,Si,2025-05-20,Perito A,Madrid,59,41,2112,2.8
Allianz,No,2024-11-30,Perito B,Zaragoza,44,39,1492,1.9
Allianz,No,2025-06-07,Perito B,Madrid,21,29,800,4.2
Mapfre,Si,2024-05-02,Perito C,Málaga,53,18,580,1.3
Linea Directa,Si,2024-06-06,Perito B,Zaragoza,45,28,4413,3.8
Mutua,Si,2024-12-24,Perito D,Zaragoza,50,31,3837,2.9
AXA,Si,2024-07-07,Perito B,Zaragoza,28,35,2363,4.1
AXA,Si,2024-09-19,Perito C,Madrid,49,30,7997,7.0
AXA,Si,2024-05-17,Perito C,Sevilla,39,40,4555,3.6
Mapfre,Si,2025-04-08,Perito B,Sevilla,40,23,1298,3.9
Allianz,No,2024-12-11,Perito B,Madrid,48,16,5799,6.1
Allianz,Si,2024-04-21,Perito C,Valencia,44,29,6648,4.2
Generali,Si,2025-06-07,Perito C,Valencia,57,49,6350,5.8
Allianz,Si,2024-02-12,Perito A,Valencia,44,38,565,1.7
Linea Directa,Si,2024-05-29,Perito D,Valencia,28,28,5953,1.9
Mutua,Si,2024-06-02,Perito D,Sevilla,58,20,2770,2.2
AXA,No,2025-06-04,Perito A,Valencia,45,32,3619,4.9
Linea Directa,Si,2025-01-02,Perito A,Málaga,56,36,5757,5.0
Linea Directa,No,2024-05-05,Perito D,Valencia,35,32,6320,3.5
Mutua,No,2024-02-11,Perito C,Málaga,56,16,7582,5.4
AXA,Si,2024-01-12,Perito D,Sevilla,31,46,2676,1.2
Mapfre,Si,2025-03-21,Perito C,Málaga,43,31,990,2.0
Mutua,Si,2025-04-20,Perito D,Zaragoza,45,15,3769,4.1
Linea Directa,No,2025-06-02,Perito C,Málaga,39,23,7907,5.8
Allianz,Si,2024-05-04,Perito D,Madrid,28,27,946,1.9
AXA,No,2024-12-20,Perito A,Málaga,42,44,6710,3.8
Generali,No,2024-10-06,Perito B,Zaragoza,58,45,512,2.8
Mutua,Si,2024-07-12,Perito B,Madrid,48,37,4833,4.6
Linea Directa,Si,2025-01-26,Perito B,Zaragoza,50,42,1120,2.4
Mapfre,No,2024-06-22,Perito C,Valencia,38,24,1277,2.1
Linea Directa,No,2025-01-17,Perito B,Málaga,39,39,7908,5.8
Generali,Si,2024-01-29,Perito D,Málaga,42,40,5786,1.6
Mapfre,Si,2024-01-27,Perito B,Barcelona,46,40,7208,5.5
AXA,No,2024-10-16,Perito C,Valencia,49,27,7531,5.4
Mutua,No,2024-06-12,Perito C,Málaga,40,31,3029,4.7
Mapfre,Si,2024-12-16,Perito C,Málaga,54,18,2581,4.0
Generali,No,2025-03-24,Perito D,Barcelona,26,37,3818,2.4
Linea Directa,Si,2024-06-03,Perito C,Madrid,41,49,997,4.0
Generali,Si,2024-08-14,Perito D,Valencia,29,25,4643,4.1
Allianz,Si,2024-07-12,Perito C,Barcelona,42,26,472,3.8
Mapfre,No,2024-05-10,Perito A,Valencia,34,23,3210,4.0
Mutua,No,2024-01-07,Perito C,Valencia,49,29,5015,5.8
Mutua,No,2024-04-09,Perito B,Madrid,53,19,1973,4.1
Linea Directa,Si,2024-07-09,Perito B,Madrid,32,33,7781,4.5
Linea Directa,Si,2024-12-15,Perito A,Sevilla,23,25,2747,3.4
Linea Directa,Si,2024-08-03,Perito C,Barcelona,37,23,3364,4.0
Allianz,No,2024-02-22,Perito B,Zaragoza,42,49,4980,5.5
Generali,Si,2024-08-13,Perito B,Barcelona,52,41,6422,4.5
Linea Directa,Si,2024-01-11,Perito D,Valencia,53,27,4917,3.3
Mapfre,Si,2024-11-09,Perito D,Sevilla,53,26,6335,2.5
Linea Directa,No,2025-03-03,Perito C,Sevilla,55,23,7584,6.9
Generali,No,2024-04-06,Perito A,Valencia,54,42,1146,4.5
Mapfre,No,2025-02-08,Perito C,Madrid,36,27,6701,4.0
Mapfre,No,2024-12-21,Perito D,Sevilla,47,34,2865,4.6
Mapfre,No,2024-10-26,Perito D,Barcelona,33,27,706,3.9
Generali,No,2024-08-10,Perito C,Madrid,53,41,5878,6.0
Linea Directa,No,2024-02-17,Perito C,Málaga,30,40,7548,7.3
Generali,Si,2024-09-20,Perito C,Sevilla,32,43,6919,2.7
Generali,Si,2024-05-01,Perito C,Valencia,52,43,7613,5.0
AXA,Si,2024-07-14,Perito A,Barcelona,21,36,443,3.3
Generali,Si,2025-01-24,Perito B,Sevilla,53,23,705,1.3
Allianz,No,2024-09-09,Perito C,Valencia,48,38,4717,5.9
AXA,No,2024-04-12,Perito B,Barcelona,56,33,7687,5.7
Mapfre,Si,2024-03-04,Perito D,Sevilla,23,45,3358,2.0
Linea Directa,Si,2024-11-20,Perito B,Barcelona,31,29,6560,5.5
Mutua,No,2024-03-25,Perito C,Málaga,45,46,7857,6.8
Linea Directa,No,2024-12-27,Perito B,Barcelona,47,43,3790,4.9
AXA,No,2025-03-09,Perito C,Valencia,22,48,7645,6.4
AXA,Si,2024-09-02,Perito C,Sevilla,39,23,2072,4.4
Mapfre,No,2025-03-30,Perito D,Valencia,29,49,3993,5.6
Generali,Si,2024-02-26,Perito C,Málaga,37,20,7352,5.7
Generali,No,2024-09-21,Perito D,Zaragoza,46,28,1392,4.2
AXA,No,2024-01-18,Perito A,Madrid,50,23,4625,7.0
Generali,Si,2024-02-26,Perito C,Barcelona,46,33,4945,3.3
AXA,No,2025-04-22,Perito D,Valencia,20,37,1664,3.5
Linea Directa,Si,2024-11-18,Perito D,Zaragoza,25,42,590,2.1
Mutua,No,2024-12-02,Perito C,Sevilla,30,30,5815,5.5
Linea Directa,No,2024-10-18,Perito B,Sevilla,53,40,4676,3.7
Mutua,Si,2025-04-06,Perito D,Madrid,58,39,3577,4.3
Mapfre,No,2024-06-13,Perito A,Sevilla,39,49,5037,6.2
